Belgium
54,48,c,0
118,44,c,0
122,76,C,0
232,86,c,0
82,66,c,0
130,126,c,0
184,122,c,0
Germany
132,100,c,0
206,110,C,0
44,162,c,0
36,152,c,0
128,136,c,0
46,136,c,0
30,140,c,0
174,60,c,0
148,288,m,-1
122,228,c,0
202,154,c,0
162,270,c,0
162,34,w,0
46,44,w,0
Europe
194,212,C,0
186,221,c,0
165,254,C,0
135,332,C,0
102,346,C,0
246,322,C,0
148,222,C,0
14,56,C,0
229,131,C,0
218,276,C,0
252,215,C,0
302,215,C,0
302,130,C,0
272,146,C,0
268,246,C,0
365,222,C,0
108,218,C,0
148,289,c,0
174,312,c,0
265,332,c,0
236,290,c,0
196,285,c,0
236,275,m,-1
164,302,m,-1
306,288,C,0
306,314,C,0
339,342,C,0
329,305,C,0
344,294,C,0
302,262,C,0
252,266,c,0
238,179,C,0
116,190,c,0
135,206,c,0
284,325,v,0
214,225,c,0
211,304,c,0
164,164,w,0
32,215,w,0
202,361,w,0
262,179,w,0
288,96,w,0
166,18,w,0
186,214,c,0
353,256,m,-1
225,199,c,0
340,198,C,0
221,292,c,0
192,133,c,0
224,86,c,0
France
330,295,c,0
350,255,c,0
164,84,C,0
104,204,c,0
276,236,c,0
178,246,c,0
258,172,c,0
296,70,c,0
162,22,c,0
158,116,c,0
10,72,c,0
316,222,c,0
146,14,w,0
72,194,w,0
158,268,m,-1
290,188,m,-1
Britain
56,112,c,0
130,72,c,0
138,238,c,0
166,278,c,0
140,326,c,0
212,326,C,0
92,358,c,0
154,228,c,0
52,190,c,0
166,348,c,0
124,316,c,0
254,340,c,0
102,116,c,0
88,218,w,0
260,354,w,0
236,150,w,0
60,336,w,0
8,144,w,0
Italy
206,194,c,0
164,170,C,0
84,24,m,-1
28,64,c,0
64,50,c,0
146,60,c,0
102,104,c,0
122,102,c,0
174,160,m,-1
174,296,c,0
134,230,w,0
210,150,w,0
190,334,w,0
280,306,w,0
224,196,v,0
227,291,v,0
Nthrlnds
121,160,c,0
82,205,c,0
92,178,c,0
90,157,c,0
162,136,c,0
248,189,c,0
204,224,c,0
180,265,c,0
186,332,c,0
48,252,c,0
171,233,c,0
150,250,c,0
127,250,c,0
218,266,c,0
215,286,c,0
131,184,c,0
134,174,c,0
192,66,c,0
182,86,c,0
235,63,c,0
235,93,c,0
210,143,c,0
97,124,c,0
101,82,c,0
36,94,w,0
Portugal
64,66,c,0
80,44,c,0
35,182,C,0
41,265,c,0
80,270,c,0
37,197,c,0
44,134,c,0
8,130,w,0
Spain
156,12,c,0
77,19,c,0
318,68,c,0
192,106,C,0
183,126,c,0
238,26,c,0
124,222,c,0
264,198,c,0
246,42,c,0
200,20,c,0
276,146,c,0
184,210,c,0
152,34,c,0
288,38,m,-1
126,258,w,0
16,108,w,0
308,202,w,0
338,124,c,0
USA
294,99,C,0
315,75,c,0
185,163,c,0
172,148,c,0
40,133,c,0
139,93,c,0
20,102,c,0
27,20,c,0
256,137,c,0
249,59,c,0
231,57,c,0
331,64,c,0
306,89,c,0
75,136,c,0
64,114,c,0
284,186,c,0
229,160,c,0
347,154,w,0
5,149,w,0
213,182,w,0
93,83,m,-1
269,110,m,-1
270,175,c,0
203,251,c,0
222,253,c,0
208,235,c,0
197,240,m,0
167,240,w,0
278,222,c,0
308,242,v,0
